排名,游戏名称,公司名称,分类,评分,评分人数,安装次数+,更新日期,大小M,当前版本,包名,网站,联系方式
1,Drive and Park,SayGames,模拟,4.2,"4,354","1,000,000",2018年12月7日,36,1.0.3,com.parking.game,http://saygames.by,saygames.by@gmail.com
2,Axe Throw,Big avocado,休闲,4.5,"2,118","50,000",2018年12月7日,19,1.0.2,com.axe.ss.android,,austinyuan1011@gmail.com
3,?64 games - Super Adam Adventure&Jungle Adventure,Super 64 Games,街机,4.6,"2,638","100,000",2018年12月7日,19,1.1.20,com.game64.superadventure,,tiptop.hao@gmail.com
4,Police Pursuit,Kwalee Ltd,街机,4.8,"3,227","100,000",2018年10月25日,42,1.0.4,com.kwalee.wantedgp,http://www.kwalee.com,policepursuitsupport@kwalee.com
5,Crashy Cops!,Do Global Games,竞速,2.7,965,"100,000",2018年12月3日,43,1.3,pampam.crashy.cops,,lichen@do-global.com
6,僵尸杀手,Happy Mobile Games,街机,4.5,"6,874","1,000,000",2018年11月8日,52,1.1.2,com.zombiehitman.deathplaguesurvivegame,,happymobilegame159@gmail.com
7,部落冲突 (Clash of Clans),Supercell,策略,4.6,"47,293,986","500,000,000",2018年12月11日,96,11.185.10,com.supercell.clashofclans,http://supercell.helpshift.com/a/clash-of-clans/,gp-info@supercell.com
8,Sniper 3D Assassin?: 免费射击游戏 Shoot to Kill,Fun Games For Free,动作,4.6,"8,859,873","100,000,000",2018年12月10日,因设备而异,因设备而异,com.fungames.sniper3d,https://www.fungames-forfree.com/games/sniper3d,support+sniper3d@fungames-forfree.com
9,女神圣域 - 全球同版混战3D动作手游,koramgame,角色扮演,4.6,"40,695","1,000,000",2018年11月6日,25,1.81.25.110600,com.heroesofchaos.ggplay.koramgame.na,http://goddess.koramgame.com/,goddess.na@koramgame.com
10,狂野城市飞车-最新极品飙车赛车游戏,Greengame,模拟,4.4,"5,064","1,000,000",2018年10月23日,65,1.1.3,com.speeddrifting.mobilelegends.cityracing,,green2018game@gmail.com
11,Underworld : The Shelter,Dreamplay Games,动作,4.3,"3,954","100,000",2018年12月7日,65,1.4.9,com.dreamplay.underworld.google,https://www.facebook.com/DreamplayIndieZone/,help@dreamplaygames.co.kr
12,紙牌接龍,Solitaire Fun,卡牌,4.9,"65,804","1,000,000",2018年7月24日,22,2.9.482,com.cardgame.solitaire.fishdom,,support@solitairegames.freshdesk.com
13,Popular Wars,Lion Studios,动作,4.1,"13,539","1,000,000",2018年12月11日,53,1.0.8,com.game5mobile.popular,http://lionstudios.cc,hello@lionstudios.cc
14,Wordscapes,PeopleFun,文字,4.8,"392,661","10,000,000",2018年11月10日,68,1.0.53,com.peoplefun.wordcross,https://wordscapes.uservoice.com/,wordscapes@peoplefun.com
15,Archery Champ - Bow & Arrow King,Archery Champion Dev,体育,4.4,443,"10,000",2018年12月5日,50,1.1.5,com.archery.champ.king.bow,,roro43setia@outlook.com
16,Word Stacks,PeopleFun,文字,4.9,"48,388","1,000,000",2018年12月7日,52,1.0.5,com.peoplefun.wordstacks,http://www.peoplefun.com,support@peoplefun.com
17,POKOPOKO The Match 3 Puzzle,Treenod Inc.,益智,4.2,"35,898","1,000,000",2018年12月4日,63,1.5.0,com.nhnent.SKPOKOPOKO,https://www.treenod.com,help@treenod.com
18,Find The Differences - Her Secret,10P STUDIO,益智,4.6,"8,449","1,000,000",2018年12月8日,68,1.1.7,com.puzzles.game.fd.two,,believe-her@boooea.com
19,Tap Color 按数字编号上色的填色本,Puzzle Saga Studio,桌面和棋类,4.8,"5,167","100,000",2018年12月11日,48,1.5.1,com.pixel.art.coloring.by.number,,support@colorbynumber.freshdesk.com
20,金币大师,Moon Active,休闲,4.5,"927,140","10,000,000",2018年11月20日,因设备而异,因设备而异,com.moonactive.coinmaster,http://moonactive.zendesk.com,support@coinmastergame.com
21,Bear.io,DO GLOBAL GAMES,街机,5.0,3,"1,000",2018年12月10日,32,1.4,com.global.beario,,doglobal523@gmail.com
22,Looper!,Kwalee Ltd,益智,4.6,"183,295","10,000,000",2018年11月26日,62,1.2.5,com.kwalee.looper,http://www.kwalee.com,info@kwalee.com
