排名,游戏名称,公司名称,分类,评分,评分人数,安装次数+,更新日期,大小M,当前版本,包名,网站,联系方式
1,糖果传奇,King,休闲,4.4,"23,882,289","500,000,000",2018年12月10日,81,1.140.0.5,com.king.candycrushsaga,http://candycrushsaga.com/help/,candycrush.techhelp@king.com
2,Toon Blast,Peak Games,益智,4.7,"1,868,241","10,000,000",2018年12月3日,因设备而异,3607,net.peakgames.toonblast,https://peakgames.helpshift.com/a/toon-blast/,support@peakgames.net
3,Slotomania? Vegas Slot Machines and Casino Games,Playtika,赌场,4.4,"1,425,692","10,000,000",2018年12月10日,因设备而异,2.96.3,air.com.playtika.slotomania,https://www.slotomania.com/,android@playtika.com
4,部落冲突 (Clash of Clans),Supercell,策略,4.6,"47,298,892","500,000,000",2018年12月11日,96,11.185.10,com.supercell.clashofclans,http://supercell.helpshift.com/a/clash-of-clans/,gp-info@supercell.com
5,Pokémon GO,"Niantic, Inc.",冒险,4.1,"11,218,234","100,000,000",2018年12月11日,95,0.131.1,com.nianticlabs.pokemongo,http://pokemongo.nianticlabs.com,pokemon-go-support@nianticlabs.com
6,部落冲突:皇室战争(Clash Royale),Supercell,策略,4.6,"24,591,299","100,000,000",2018年12月12日,94,2.5.2,com.supercell.clashroyale,http://supercell.helpshift.com/a/clash-royale/,gp-info@supercell.com
7,Empires & Puzzles: RPG Quest,Small Giant Games,角色扮演,4.7,"923,695","10,000,000",2018年11月27日,90,17.1.0,com.smallgiantgames.empires,https://support.smallgiantgames.com/,googleplay@smallgiantgames.com
8,星球大战：银河英雄传,ELECTRONIC ARTS,角色扮演,4.5,"1,499,789","10,000,000",2018年12月4日,70,0.14.388097,com.ea.game.starwarscapital_row,http://www.starwarsgalaxyofheroes.com,help@eamobile.com
9,决战高尔夫,Playdemic,体育,4.5,"1,410,307","10,000,000",2018年12月6日,69,120.0.6.229.0,com.playdemic.golf.android,http://www.playdemic.com,support@playdemic.mail.helpshift.com
10,糖果苏打传奇,King,休闲,4.4,"6,442,065","100,000,000",2018年12月10日,62,1.127.3,com.king.candycrushsodasaga,http://candycrushsodasaga.com/help/,candycrushsoda.techhelp@king.com
