排名,游戏名称,公司名称,分类,评分,评分人数,安装次数+,更新日期,大小M,当前版本,包名,网站,联系方式
1,Taxi City 1988 V1,StrongUnion Games,模拟,4.4,"3,675","100,000",2018年12月8日,82,1.0.3,com.Taxi.Game,http://stronguniongames.com,Berkutgame@gmail.com
2,Kingdom Rush Vengeance,Ironhide Game Studio,策略,4.8,"12,178","10,000",2018年12月4日,36,1.5.2,com.ironhidegames.android.kingdomrush4,http://www.ironhidegames.com,android@ironhidegames.com
3,Age of Civilizations II,?ukasz Jakowski,策略,4.6,"1,498","5,000",2018年12月12日,87,1.01415_ELA,age.of.civilizations2.jakowski.lukasz,https://store.steampowered.com/app/603850/Age_of_Civilizations_II/,jakowskidev@gmail.com
4,Magnet Balls 2,crazy owl,益智,4.5,58,"5,000",2018年12月10日,19,1.0.1.2,com.crazyowl.MagnetBalls2,https://www.facebook.com/MagnetBallsGame,crazyowlgames@gmail.com
5,绝对漂移,Noodlecake Studios Inc,竞速,3.9,23,500,2018年12月4日,28,1.0.0,com.noodlecake.absolutedrift,http://www.noodlecake.com/games/absolute-drift/,support+drift@noodlecake.com
6,脸黑先生 (CHUCHEL),Amanita Design,冒险,4.5,278,"5,000",2018年12月11日,55,1.0.8,air.com.amanitadesign.chuchel.gp,http://amanita-design.net/,support@amanita-design.net
7,Twinfold,Kenny Sun,益智,5.0,10,100,2018年12月5日,36,1.0.0,com.sun.twinfold,http://kennysun.com/twinfold,kenny.y.sun@gmail.com
8,BABY HANDS Jr.,Chicken Waffle,模拟,4.7,81,500,2018年12月12日,24,1.10,com.ChickenWaffle.BabyHands,http://www.chicken-waffle.com,contact@chicken-waffle.com
9,Sword Knights ( 劍騎士 - Premium ),Honeydew Games,角色扮演,4.5,414,"10,000",2018年12月11日,66,1.0.05,com.honeydew.stealerpremium,,master@honeydewgames.com
10,My City : 牙医,My Town Games Ltd,教育,4.6,88,"1,000",2018年11月15日,62,0.0.261,mycity.dentist,http://www.my-town.com,info@my-town.com
11,Card Crusade: Early Access,Pollywog Games,卡牌,4.9,16,100,2018年12月6日,45,1.0,games.pollywog.card_crusade,http://pollywog.games,contact@pollywog.games
12,Retro Pixel,squiden,街机,4.9,11,100,2018年12月10日,62,1.1.2,com.squiden.retropixel,,squidengames@gmail.com
13,Morels,Mossbark Games LLC,卡牌,4.9,14,100,2018年11月29日,47,1.00.01,com.mossbark.morels,http://mossbark.com,support@mossbark.com
14,Arithmagic - Math RPG,Gooble Games,教育,5.0,23,50,2018年12月8日,62,1.0.0,com.gooblegames.arithmagic,http://www.gooblegames.com,app@gooblegames.com
15,Laws of Civilization,Damian Bernardi,模拟,4.7,159,"10,000",2018年11月28日,27,1.1.3,com.DamianBernardi.LawsofCivilization,http://www.somniumsoft.com,support@somniumsoft.com
16,Moshpit - Heavy Metal is war,SinSquid Games,动作,5.0,5,50,2018年12月3日,38,1.1,com.sinsquid.moshpit,https://sinsquid.wixsite.com/sinsquid,sinsquid@gmail.com
17,the Sequence [2],One Man Band,益智,5.0,30,100,2018年11月28日,51,1.0.6,com.onemanband.thesequence2,http://ombgames.com/,umaksimus300@gmail.com
18,Crazy Platez,Aesthetician Labs,街机,4.9,17,50,2018年12月3日,40,1.45.7,com.aesthetician.crazyPlatez,http://aesthetic.games,info@aesthetic.games
19,Marching Order,SFB Games,益智,5.0,13,100,2018年12月2日,17,1.0.43,com.sfbgames.MarchingOrder,http://www.sfbgames.com,tom@sfbgames.com
20,Glitter Cure Anime Dress Up,Doll Divine,角色扮演,4.8,8,50,2018年12月1日,12,1.0.0,air.glittercure,https://www.dolldivine.com,ola.rogula@gmail.com
21,Knight Life: Medieval Fantasy RPG,Virtual Weasel Games,角色扮演,4.2,4,10,2018年12月8日,91,2.4,com.VirtualWeasel.AKnightsLife,https://www.youtube.com/channel/UCcf62gEisoI-_ZSvvkEI5QA,virtualweaselgames@gmail.com
22,Watch Out - Endless jumping game,Arsal,休闲,4.5,8,100,2018年12月2日,15,1,com.arsalanengr.watchout,http://arsalanengr.com,contact.arsalanengr@gmail.com
23,Outlaws - Sprint Car Racing,Game Mode,竞速,3.0,1,10,2018年11月19日,98,1.0,ea.f1championship,,topfreekidgames@gmail.com
24,7Days - 轻小说文字冒险游戏,"Buff Studio Co.,Ltd.",冒险,4.6,81,500,2018年11月26日,87,1.20,com.buffstudio.sevendays,http://www.buffstudio.com,help@buffstudio.com
25,无,无,无,无,无,无,无,无,无,com.twisterproandroid,无,无
26,Z.O.N.A Shadow of Lemansk,AGaming+,动作,4.2,400,"5,000",2018年11月30日,40,2.02.01,com.agaming.zonashadowoflemansk,https://vk.com/eg_project,agamingandroid@gmail.com
27,Out of The Box,Raiser Games,模拟,4.7,3,10,2018年12月5日,42,1.48,com.NuclearTales.OutOfTheBox,http://www.raisergames.com,support@raisergames.com
28,Hey Duggee: The Squirrel Club,BBC Worldwide (Ltd),休闲,5.0,2,500,2018年12月7日,27,1.2.1,com.bbc.heyduggeesquirrelclub,https://www.heyduggee.com/grown-ups/apps/,support@scarybeasties.com
29,Pango Kumo 天气,Studio Pango,冒险,5.0,2,100,2018年11月21日,59,1.0,com.studiopango.kumo,http://www.studio-pango.com/,pango@studio-pango.com
30,HELP: Matching Games with Fun Puzzle Gameplay,PlayStack,休闲,5.0,8,100,2018年12月6日,27,1.0.2,com.playstack.helpthegame,https://helpmobilegame.com/,support@helpthegame.zendesk.com
31,Pixelmoon PokeCraft Mods MCPE 2018 New Version,Best Games Place,冒险,5.0,1,100,2018年11月20日,29,1.0,com.bestgames.pixelmoonmcpes,,durowskipatryk335@gmail.com
32,无,无,无,无,无,无,无,无,无,com.jackboxgames.TJPP5Loader,无,无
33,Where Shadows Slumber,Game Revenant,益智,4.9,50,500,2018年12月9日,24,1.0.4,com.gamerevenant.whereshadowsslumber,http://WhereShadowsSlumber.com,contact@GameRevenant.com
34,无,无,无,无,无,无,无,无,无,air.com.upcquiz.bqmatch19,无,无
35,Throne Quest RPG,Valorware,角色扮演,4.8,16,100,2018年12月6日,85,1.13,com.valorware.thronequest,http://valorware.com,support@valorware.com
36,PathPix Oz,Kris Pixton,益智,5.0,4,50,2018年11月16日,8.6,1.0,com.kpixgames.PathPixOz,http://www.kpixgames.com,krispixton@gmail.com
37,无,无,无,无,无,无,无,无,无,air.com.upcquiz.bqbubble19,无,无
38,Kaiju Big Battel Fighto Fantasy,Super Walrus Games,角色扮演,5.0,3,1,2018年12月7日,75,1.0.8,com.superwalrusland.kaiju,http://superwalrusland.com,paulclementharrington@gmail.com
39,Robert Rodriguez’s THE LIMIT for Android,STXsurreal,动作,3.5,19,100,2018年11月20日,55,1.3,com.stxsurreal.thelimit_cardboard,http://www.stxentertainment.com,surrealdev@stxentertainment.com
40,刷錢塔 (Premium),Honeydew Games,角色扮演,4.3,90,"1,000",2018年12月5日,79,1.5.2,com.honeydew.vip.farmingtower,,master@honeydewgames.com
41,Fitoons,Avokiddo,教育,5.0,1,10,2018年11月30日,9.6,1.0.1,com.avokiddo.games.fitoons,http://www.avokiddo.com,hello@avokiddo.com
42,建造舰船 VIP - 银河战役(Grow Spaceship),PixelStar Games,休闲,4.4,135,"5,000",2018年11月13日,35,3.8,com.pixelstar.GrowSpaceshipVIP,https://www.facebook.com/pixelstarstudio/,pixelstarking@gmail.com
43,Sounds Stupid - Party Game,Good Catch,休闲,5.0,6,50,2018年11月8日,35,1.0.0,com.goodcatchgames.soundsstupid,https://www.goodcatchgames.com/game/soundsstupid/,support@goodcatchgames.com
44,??? : ? ??? ??? ???,team gramoxone,模拟,4.8,607,"5,000",2018年12月10日,99,1.0.13,team.gramoxone.onthehook.paid,https://blog.naver.com/teamgramoxone,team.gramoxone@gmail.com
45,British Offensive: Second Battle of El Alamein,Joni Nuutinen,策略,5.0,1,10,2018年12月9日,4.0,1.0.2.0,com.cloudworth.elalamein_british,http://bit.ly/GRhzqH,alephh@gmail.com
