排名,游戏名称,公司名称,分类,评分,评分人数,安装次数+,更新日期,大小M,当前版本,包名,网站,联系方式
1,Popular Wars,Lion Studios,动作,4.1,"13,174","1,000,000",2018年12月11日,53,1.0.8,com.game5mobile.popular,http://lionstudios.cc,hello@lionstudios.cc
2,Fire Balls 3D,VOODOO,街机,4.5,"155,437","10,000,000",2018年12月9日,47,1.8,com.NikSanTech.FireDots3D,http://www.voodoo.io,support@voodoo.io
3,Stickman Hook,Madbox,街机,4.1,"116,584","10,000,000",2018年12月7日,52,2.1.0,com.mindy.grap1,https://madboxgames.io/#/,admin@madboxgames.io
4,Paper.io 2,VOODOO,街机,4.4,"484,638","10,000,000",2018年11月16日,48,1.3.1,io.voodoo.paper2,,support@voodoo.io
5,Drive and Park,SayGames,模拟,4.2,"4,242","1,000,000",2018年12月7日,36,1.0.3,com.parking.game,http://saygames.by,saygames.by@gmail.com
6,Lucky Day - Win Real Money,"Lucky Day Entertainment, Inc.",赌场,4.6,"314,670","5,000,000",2018年12月3日,92,5.5.1,com.luckyday.app,https://www.luckydayapp.com,support@luckydayapp.com
7,Swing Star,Good Job Games,动作,4.1,"105,967","10,000,000",2018年12月4日,75,2.2.0,com.swingman.game,,contact@goodjobgames.com
8,Helix Jump,VOODOO,动作,4.3,"3,156,708","100,000,000",2018年12月10日,41,2.0,com.h8games.helixjump,,support@voodoo.io
9,Words Story - Addictive Word Game,Great Puzzle Games,文字,4.5,"140,472","10,000,000",2018年12月10日,34,1.2.9,com.word.game.fun.puzzle.prison.escape.captain,,wordstory@boooea.com
10,Escape Room: Mystery Word,Worzzle Team,文字,4.5,"66,828","5,000,000",2018年12月8日,35,1.3.0,com.escape.room.door.word.prison.puzzle.adventure,,escaperoom@boooea.com
11,我的汤姆猫 2,Outfit7 Limited,休闲,4.7,"589,315","10,000,000",2018年12月10日,因设备而异,1.1.2.134,com.outfit7.mytalkingtom2,http://outfit7.com/contact/android/,support@outfit7.com
12,Tiles Hop: Endless Music Jumping Ball,AMANOTES,音乐,4.5,"70,859","10,000,000",2018年11月29日,44,2.6.2,com.amanotes.beathopper,http://amanotes.com,pama.support@amanotes.com
13,Happy Glass,Lion Studios,益智,4.3,"363,421","50,000,000",2018年11月11日,53,1.0.17,com.game5mobile.lineandwater,http://www.lionstudios.cc,game5mobile@lionstudios.cc
14,Find The Differences - The Detective,10P STUDIO,益智,4.6,"146,787","10,000,000",2018年12月10日,92,1.2.6,com.puzzles.game.halloweeen.one,,finddifference@boooea.com
15,ROBLOX,Roblox Corporation,冒险,4.6,"6,031,772","100,000,000",2018年12月10日,76,2.365.265265,com.roblox.client,http://www.roblox.com,info@roblox.com
16,Spinner.io,Good Job Games,街机,4.2,"28,279","1,000,000",2018年12月1日,38,1.2,com.suji.spinner,,contact@goodjobgames.com
17,Wordscapes,PeopleFun,文字,4.8,"392,417","10,000,000",2018年11月10日,68,1.0.53,com.peoplefun.wordcross,https://wordscapes.uservoice.com/,wordscapes@peoplefun.com
18,Flip Trickster - Parkour Simulator,Lion Studios,模拟,4.0,"41,690","10,000,000",2018年12月8日,46,1.4.4,com.revolverolver.fliptrickster,https://lionstudios.cc/,filur@lionstudios.cc
19,Subway Surfers,Kiloo,街机,4.5,"28,983,303","1,000,000,000",2018年12月5日,83,1.96.1,com.kiloo.subwaysurf,http://www.kiloo.com,support@kiloo.com
