排名,游戏名称,公司名称,分类,评分,评分人数,安装次数+,更新日期,大小M,当前版本,包名,网站,联系方式
1,Popular Wars,Lion Studios,动作,4.1,"13,643","1,000,000",2018年12月11日,53,1.0.8,com.game5mobile.popular,http://lionstudios.cc,hello@lionstudios.cc
2,Drive and Park,SayGames,模拟,4.2,"4,354","1,000,000",2018年12月7日,36,1.0.3,com.parking.game,http://saygames.by,saygames.by@gmail.com
3,Flip Skater,Miniclip.com,体育,4.5,"25,367","1,000,000",2018年12月4日,94,1.28,com.miniclip.topskater,http://www.miniclip.com/,support@miniclip.com
4,Command & Conquer: Rivals PVP,ELECTRONIC ARTS,策略,3.9,"56,102","1,000,000",2018年11月29日,77,1.2.3,com.ea.gp.candcwarzones,http://www.ea.com/android,help@eamobile.com
5,Pocket Build,MoonBear LTD,模拟,4.3,"6,951","500,000",2018年12月9日,56,1.9.41,moonbear.PocketBuild,http://moonbear.co,contact@moonbear.com
6,Slime Road,tastypill,动作,4.3,"2,072","500,000",2018年12月10日,39,2.4,com.rubygames.splashyjump,http://www.tastypill.com,support@tastypill.com
7,Slope Run,Onepear,竞速,3.9,736,"100,000",2018年12月11日,34,1.0.6,com.abcgame.sloperun,,zhouyitian1990@gmail.com
8,Toca Life: World,Toca Boca,教育,4.4,"35,565","1,000,000",2018年11月30日,25,1.2.1,com.tocaboca.tocalifeworld,http://www.tocaboca.com,support@tocaboca.com
9,Star Trek? Fleet Command,Scopely,策略,4.3,"39,453","1,000,000",2018年11月28日,110,0.543.8403,com.scopely.startrek,http://www.scopely.com,startrek-support@scopely.io
10,Link It Rich! Hot Vegas Casino Slots FREE,Mofun Slots Game,赌场,4.7,"3,398","100,000",2018年12月8日,76,1.0.6,com.mofunslots.richescasino,,mofunslots@gmail.com
11,Wind Rider!,VOODOO,街机,3.3,"3,973","500,000",2018年12月6日,44,1.12.0,io.voodoo.windrider,http://voodoo.io,support@voodoo.io
12,刺客信条：燎原 – Assassin’s Creed Rebellion,Ubisoft Entertainment,角色扮演,4.6,"189,301","1,000,000",2018年12月3日,28,2.0.2,com.ubisoft.accovenant,https://www.ubisoft.com/en-gb/game/assassins-creed-rebellion/,android.support@ubisoft.com
13,UNO!?,Mattel163 Limited,卡牌,4.3,"54,003","1,000,000",2018年11月12日,97,1.2.6145,com.matteljv.uno,http://www.letsplayuno.com/,uno@mattel163.com
14,"Bible Coloring - Color By Number, Free Bible Game",iDailybread.org,休闲,4.9,"2,476","50,000",2018年12月10日,6.9,1.0.4,holy.bible.biblegame.bibleverse.color.by.number.colorbynumber.paint.pixel.art,,cs@idailybread.org
15,Axe Throw,Big avocado,休闲,4.5,"2,118","50,000",2018年12月7日,19,1.0.2,com.axe.ss.android,,austinyuan1011@gmail.com
